Date,GHI,DNI,DHI,Temperature,WindSpeed
2025-01-01,4.67,3.18,1.74,21.4,2.08
2025-01-02,6.61,4.56,2.04,34.7,5.23
2025-01-03,4.62,4.35,2.78,20.3,4.06
2025-01-04,6.76,3.9,2.27,29.9,4.67
2025-01-05,5.47,3.52,1.55,30.7,5.77
2025-01-06,5.84,4.02,2.86,26.0,4.02
2025-01-07,6.3,3.88,2.14,30.7,4.83
2025-01-08,5.56,4.09,2.68,34.4,2.16
2025-01-09,4.89,5.43,2.61,31.0,1.93
2025-01-10,4.56,5.69,2.34,31.9,1.65
2025-01-11,4.24,5.75,1.6,23.2,3.67
2025-01-12,6.22,4.26,2.31,29.1,1.71
2025-01-13,5.32,5.7,1.23,23.2,2.16
2025-01-14,4.47,4.76,2.34,29.6,3.9
2025-01-15,6.64,5.99,2.05,32.7,4.79
2025-01-16,4.82,3.37,1.65,25.8,5.76
2025-01-17,5.24,5.27,1.88,23.3,5.38
2025-01-18,4.89,4.76,1.57,33.5,4.85
2025-01-19,5.89,4.54,1.94,24.0,4.27
2025-01-20,5.74,5.27,1.85,24.5,4.38
2025-01-21,5.8,5.5,1.98,34.8,3.94
2025-01-22,4.8,5.49,1.05,34.2,1.01
2025-01-23,4.85,4.03,1.22,32.7,4.93
2025-01-24,4.76,4.14,2.71,21.9,2.83
2025-01-25,4.98,4.79,1.35,31.8,4.98
2025-01-26,4.43,3.13,1.62,26.2,5.94
2025-01-27,4.5,5.44,2.39,26.3,2.67
2025-01-28,6.89,4.76,1.77,24.2,5.66
2025-01-29,6.88,4.33,1.81,24.3,4.86
2025-01-30,4.57,4.91,1.08,23.0,2.37
2025-01-31,4.07,5.87,1.87,24.9,2.56
2025-02-01,4.61,5.41,2.14,20.8,5.26
2025-02-02,6.1,4.97,1.88,26.0,1.72
2025-02-03,6.34,3.62,1.76,27.6,5.01
2025-02-04,4.07,5.92,1.35,34.9,2.15
2025-02-05,5.73,4.16,1.77,22.9,2.36
2025-02-06,4.0,5.72,1.1,30.4,4.5
2025-02-07,5.55,4.5,1.57,24.0,5.46
2025-02-08,5.92,5.02,1.02,24.7,4.77
2025-02-09,6.96,5.66,1.33,34.0,5.5
2025-02-10,4.78,3.18,1.13,28.3,5.51
2025-02-11,6.41,3.88,2.86,32.6,3.66
2025-02-12,6.61,3.53,2.06,34.5,4.0
2025-02-13,6.77,3.14,1.46,28.3,2.51
2025-02-14,4.01,4.03,2.23,32.8,3.2
2025-02-15,5.41,5.75,1.52,33.9,1.72
2025-02-16,6.94,3.76,2.3,26.3,4.08
2025-02-17,5.2,3.34,2.03,21.7,5.92
2025-02-18,6.44,5.83,1.79,27.2,1.76
2025-02-19,5.64,4.48,2.81,24.5,4.41
2025-02-20,6.31,4.42,2.37,32.9,4.01
2025-02-21,5.45,5.06,2.89,34.2,4.28
2025-02-22,4.09,5.45,1.55,20.7,5.16
2025-02-23,4.26,3.68,1.77,27.0,4.71
2025-02-24,4.33,3.61,2.34,23.2,2.38
2025-02-25,4.75,4.27,2.25,27.2,3.25
2025-02-26,6.89,5.54,1.54,21.2,3.9
2025-02-27,5.9,5.78,1.19,24.9,2.23
2025-02-28,6.45,3.57,2.66,21.6,3.63
2025-03-01,5.7,5.07,1.68,26.2,3.28
2025-03-02,5.91,4.34,1.0,20.8,4.68
2025-03-03,6.44,5.63,2.38,30.2,1.29
2025-03-04,6.78,3.89,1.66,33.8,2.07
2025-03-05,6.74,3.81,2.46,33.3,1.26
2025-03-06,6.47,3.07,1.24,27.5,1.75
2025-03-07,4.28,5.61,1.51,21.6,4.3
2025-03-08,5.08,3.5,2.83,32.2,2.32
2025-03-09,4.11,3.84,2.23,28.1,3.1
2025-03-10,5.64,3.74,1.81,22.8,5.8
2025-03-11,6.39,5.77,2.71,29.6,2.78
2025-03-12,4.15,3.24,2.35,31.9,2.65
2025-03-13,4.57,4.01,1.36,24.7,4.3
2025-03-14,5.1,5.04,1.54,30.9,2.16
2025-03-15,4.73,3.5,2.76,25.0,5.8
2025-03-16,6.39,4.73,2.87,31.6,3.88
2025-03-17,5.06,4.27,2.4,28.7,5.33
2025-03-18,5.92,3.04,2.06,32.7,4.32
2025-03-19,5.48,4.82,2.82,23.9,1.14
2025-03-20,5.75,4.04,2.32,31.5,5.51
2025-03-21,6.82,3.63,2.88,24.3,1.1
2025-03-22,6.83,5.93,2.41,27.1,4.54
2025-03-23,4.34,5.52,1.43,33.2,3.71
2025-03-24,6.53,4.35,2.75,30.3,4.1
2025-03-25,5.04,3.96,2.07,32.4,4.58
2025-03-26,4.3,3.04,1.68,29.1,2.87
2025-03-27,5.15,5.18,1.47,29.2,1.44
2025-03-28,5.53,3.8,1.54,34.0,4.26
2025-03-29,6.88,4.54,2.09,23.3,5.33
2025-03-30,5.11,4.88,1.09,32.4,4.36
2025-03-31,4.04,5.26,1.73,29.3,3.13
2025-04-01,6.58,3.47,1.51,33.0,3.63
2025-04-02,4.33,3.27,1.19,34.7,4.06
2025-04-03,5.44,5.32,2.01,24.2,3.59
2025-04-04,6.55,3.15,1.71,33.5,1.07
2025-04-05,5.54,4.22,2.76,23.0,1.85
2025-04-06,5.34,3.11,2.05,25.9,1.37
2025-04-07,6.4,3.62,1.29,34.5,2.45
2025-04-08,4.06,3.57,1.15,22.6,2.6
2025-04-09,5.72,5.52,2.14,24.6,2.19
2025-04-10,5.23,5.23,2.56,33.6,5.51
2025-04-11,6.96,3.73,1.82,25.7,4.73
2025-04-12,6.4,4.76,2.07,27.9,1.05
2025-04-13,4.16,4.48,2.61,23.9,1.98
2025-04-14,4.57,3.27,2.3,27.5,5.74
2025-04-15,5.36,4.07,2.21,27.8,3.74
2025-04-16,6.11,5.25,2.79,34.5,3.58
2025-04-17,5.0,3.39,1.33,26.6,3.62
2025-04-18,5.08,3.72,1.35,34.8,5.85
2025-04-19,6.76,4.07,2.89,26.3,5.67
