Date,GHI,DNI,DHI,Temperature,WindSpeed
2025-01-01,4.46,4.86,2.61,26.2,5.0
2025-01-02,6.22,4.18,1.82,28.2,1.3
2025-01-03,4.79,5.8,1.53,27.4,2.04
2025-01-04,5.6,5.2,2.47,22.9,1.86
2025-01-05,4.04,4.29,2.06,33.2,4.31
2025-01-06,6.76,4.38,2.41,25.9,2.32
2025-01-07,6.7,6.0,2.93,27.1,3.48
2025-01-08,4.1,5.89,2.52,26.3,2.55
2025-01-09,6.87,3.02,1.36,29.1,2.48
2025-01-10,4.41,5.54,1.92,32.9,3.34
2025-01-11,4.85,4.09,2.75,29.4,1.68
2025-01-12,5.82,4.19,1.51,28.0,5.61
2025-01-13,6.83,3.88,2.56,33.7,2.74
2025-01-14,6.56,4.84,2.15,32.1,3.65
2025-01-15,4.01,3.53,1.56,23.7,2.24
2025-01-16,5.56,3.63,2.44,23.3,2.45
2025-01-17,5.66,3.65,1.18,27.5,1.8
2025-01-18,5.46,4.68,1.51,23.1,2.12
2025-01-19,6.3,3.31,1.46,20.7,3.05
2025-01-20,4.48,3.93,1.46,30.9,5.49
2025-01-21,6.29,5.42,1.55,23.4,2.34
2025-01-22,4.06,4.46,1.56,26.3,1.35
2025-01-23,4.41,5.87,2.93,28.0,1.41
2025-01-24,4.35,5.14,1.72,24.6,3.88
2025-01-25,4.93,3.35,1.67,34.0,3.81
2025-01-26,6.01,4.34,2.47,28.4,5.8
2025-01-27,5.41,4.58,1.92,33.2,2.56
2025-01-28,6.45,5.69,1.99,33.1,5.75
2025-01-29,4.87,5.76,2.66,26.6,1.72
2025-01-30,6.2,3.16,1.27,30.0,5.75
2025-01-31,6.11,5.73,2.04,29.8,1.98
2025-02-01,4.98,5.07,1.08,34.2,1.53
2025-02-02,5.0,4.72,1.51,28.7,5.52
2025-02-03,6.93,5.75,1.48,23.6,5.01
2025-02-04,5.87,4.22,1.74,34.2,3.8
2025-02-05,6.85,5.02,1.66,33.3,1.37
2025-02-06,6.3,5.48,1.63,21.1,2.36
2025-02-07,6.48,5.45,3.0,27.5,5.05
2025-02-08,5.22,4.68,2.15,30.5,1.75
2025-02-09,5.35,4.68,1.75,31.7,5.69
2025-02-10,5.2,5.57,2.05,22.9,2.14
2025-02-11,6.99,3.62,2.85,31.2,1.1
2025-02-12,4.53,5.15,2.57,24.7,1.01
2025-02-13,6.89,5.45,1.94,25.8,5.35
2025-02-14,5.26,3.36,1.3,21.2,5.75
2025-02-15,5.27,5.55,1.15,25.3,3.08
2025-02-16,5.39,3.38,1.0,31.1,1.6
2025-02-17,5.12,3.16,2.81,34.0,2.15
2025-02-18,5.4,4.41,1.34,25.3,5.63
2025-02-19,4.11,5.82,2.49,23.3,4.78
2025-02-20,4.25,5.84,2.96,29.2,3.56
2025-02-21,6.2,4.76,2.17,20.1,4.99
2025-02-22,5.91,5.44,2.71,33.6,1.58
2025-02-23,4.08,3.75,2.64,27.3,1.23
2025-02-24,4.9,4.92,2.88,33.1,3.2
2025-02-25,4.66,3.5,2.48,33.3,5.56
2025-02-26,4.17,3.76,1.82,29.4,4.56
2025-02-27,5.57,5.79,1.62,29.7,4.36
2025-02-28,5.25,5.69,2.06,32.8,2.72
2025-03-01,4.14,5.23,1.65,29.4,4.2
2025-03-02,5.72,4.42,2.89,32.7,1.76
2025-03-03,6.41,5.64,1.17,34.9,3.38
2025-03-04,4.34,3.51,1.39,25.3,1.01
2025-03-05,4.83,4.52,1.81,24.9,3.58
2025-03-06,5.93,4.8,2.1,24.9,2.59
2025-03-07,5.48,3.11,2.17,23.7,2.7
2025-03-08,5.52,5.45,2.68,24.1,2.99
2025-03-09,5.38,3.84,1.6,25.5,1.48
2025-03-10,6.68,5.78,2.61,27.2,5.19
2025-03-11,5.82,5.8,1.61,33.8,3.83
2025-03-12,5.81,5.36,1.59,28.6,5.18
2025-03-13,5.33,5.48,2.69,27.9,1.14
2025-03-14,5.44,3.91,1.28,33.9,3.05
2025-03-15,6.67,3.48,2.87,28.9,4.23
2025-03-16,4.63,4.1,2.37,26.8,5.27
2025-03-17,6.83,4.18,2.12,24.2,1.36
2025-03-18,4.22,5.81,1.59,22.3,1.18
2025-03-19,5.79,5.49,2.37,23.3,4.2
2025-03-20,4.09,5.52,2.69,27.7,2.17
2025-03-21,6.0,5.08,2.38,27.7,3.26
2025-03-22,5.91,5.39,2.66,22.7,4.59
2025-03-23,6.59,4.39,2.17,25.8,5.63
2025-03-24,6.82,5.7,1.75,32.5,5.49
2025-03-25,5.34,5.91,1.93,32.5,1.37
2025-03-26,6.01,4.23,1.79,31.6,3.46
2025-03-27,6.77,5.72,2.34,21.8,1.41
2025-03-28,5.86,5.14,2.95,29.5,3.29
2025-03-29,4.97,4.93,2.69,33.2,3.42
2025-03-30,4.96,4.58,1.4,33.6,2.65
2025-03-31,4.87,5.83,2.0,26.6,1.94
2025-04-01,6.87,4.09,2.82,32.9,3.35
2025-04-02,5.22,3.42,3.0,24.3,1.88
2025-04-03,6.84,3.18,2.91,24.5,3.44
2025-04-04,6.57,5.42,1.17,28.3,4.67
2025-04-05,6.07,4.61,1.55,33.1,5.85
2025-04-06,4.01,3.72,2.45,31.8,2.17
2025-04-07,6.7,4.03,1.01,24.9,2.12
2025-04-08,6.76,4.97,2.43,27.9,3.14
2025-04-09,4.02,5.25,1.06,33.8,1.82
2025-04-10,5.93,3.26,1.33,27.1,1.76
2025-04-11,5.16,4.87,2.42,22.3,2.46
2025-04-12,5.79,4.81,2.89,22.0,4.94
2025-04-13,5.83,5.39,1.07,29.5,2.38
2025-04-14,5.8,3.67,1.11,27.5,2.25
2025-04-15,4.94,3.48,2.15,28.9,5.99
2025-04-16,4.21,5.25,2.12,24.9,5.34
2025-04-17,6.4,4.16,2.78,25.8,4.21
2025-04-18,6.73,3.36,2.75,27.1,4.38
2025-04-19,4.58,4.31,2.46,32.9,3.74
2025-04-20,4.63,5.39,2.36,20.9,3.45
2025-04-21,5.13,4.04,2.63,27.6,2.5
2025-04-22,5.21,3.6,2.7,30.4,2.37
2025-04-23,6.66,5.3,2.51,33.1,5.93
2025-04-24,4.61,3.2,1.41,25.5,5.47
2025-04-25,5.26,3.29,2.14,22.5,5.89
2025-04-26,5.94,3.08,1.72,31.3,1.89
2025-04-27,5.53,5.41,2.24,34.1,4.79
2025-04-28,5.0,4.06,2.96,29.1,1.04
2025-04-29,6.34,3.62,2.6,23.1,2.15
2025-04-30,4.41,3.01,2.86,34.9,5.14
2025-05-01,4.58,3.8,1.75,31.7,2.6
2025-05-02,5.21,3.43,2.17,33.5,2.79
2025-05-03,6.36,5.62,1.26,27.4,1.61
2025-05-04,4.76,3.34,1.0,32.2,2.04
2025-05-05,4.33,5.3,2.41,30.8,5.17
2025-05-06,6.79,4.55,1.39,26.4,5.67
2025-05-07,4.38,3.12,2.81,24.8,5.87
2025-05-08,5.82,3.6,1.64,25.0,5.48
2025-05-09,4.87,4.03,1.29,25.6,1.99
2025-05-10,5.88,4.09,2.89,31.2,3.13
2025-05-11,5.98,3.89,1.38,24.5,2.31
2025-05-12,4.2,4.93,2.79,30.6,4.46
2025-05-13,5.07,3.28,1.29,29.2,4.69
2025-05-14,5.0,3.25,1.88,31.9,3.88
2025-05-15,4.53,4.62,2.72,32.1,2.97
2025-05-16,4.02,3.93,2.71,22.6,2.35
2025-05-17,4.03,5.01,2.42,22.3,5.09
2025-05-18,5.79,3.85,2.83,21.9,1.64
2025-05-19,4.25,5.04,2.59,25.1,1.54
2025-05-20,4.95,5.64,2.61,27.9,1.65
2025-05-21,6.91,4.04,1.89,22.7,2.03
2025-05-22,6.62,3.77,2.25,20.8,3.13
2025-05-23,6.74,5.24,2.86,32.1,1.38
2025-05-24,4.51,3.41,1.33,25.3,4.5
2025-05-25,4.95,4.57,2.5,30.4,2.39
2025-05-26,4.73,5.78,1.81,30.0,4.83
2025-05-27,5.47,3.88,2.14,24.5,2.73
2025-05-28,5.63,5.25,1.17,23.9,2.61
2025-05-29,5.22,4.22,2.24,27.2,3.79
